,Unique_Countries
0,United States of America
1,United Kingdom of Great Britain and Northern Ireland
2,Canada
3,Norway
4,Uzbekistan
5,Serbia
6,Poland
7,Philippines
8,Bulgaria
9,Switzerland
10,India
11,Germany
12,Ireland
13,Italy
14,Ukraine
15,Australia
16,Brazil
17,Japan
18,Austria
19,"Iran, Islamic Republic of..."
20,France
21,Saudi Arabia
22,Romania
23,Turkey
24,Nepal
25,Algeria
26,Sweden
27,Netherlands
28,Croatia
29,Pakistan
30,Czech Republic
31,Republic of North Macedonia
32,Finland
33,Slovakia
34,Russian Federation
35,Greece
36,Israel
37,Belgium
38,Mexico
39,United Republic of Tanzania
40,Hungary
41,Argentina
42,Portugal
43,Sri Lanka
44,Latvia
45,China
46,Singapore
47,Lebanon
48,Spain
49,South Africa
50,Lithuania
51,Viet Nam
52,Dominican Republic
53,Indonesia
54,Kosovo
55,Morocco
56,Taiwan
57,Georgia
58,San Marino
59,Tunisia
60,Bangladesh
61,Nigeria
62,Liechtenstein
63,Denmark
64,Ecuador
65,Malaysia
66,Albania
67,Azerbaijan
68,Chile
69,Ghana
70,Peru
71,Bolivia
72,Egypt
73,Luxembourg
74,Montenegro
75,Cyprus
76,Paraguay
77,Kazakhstan
78,Slovenia
79,Jordan
80,"Venezuela, Bolivarian Republic of..."
81,Costa Rica
82,Jamaica
83,Thailand
84,Nicaragua
85,Myanmar
86,Republic of Korea
87,Rwanda
88,Bosnia and Herzegovina
89,Benin
90,El Salvador
91,Zimbabwe
92,Afghanistan
93,Estonia
94,Malta
95,Uruguay
96,Belarus
97,Colombia
98,Republic of Moldova
99,Isle of Man
100,Nomadic
101,New Zealand
102,Palestine
103,Armenia
104,United Arab Emirates
105,Maldives
106,Ethiopia
107,Fiji
108,Guatemala
109,Uganda
110,Turkmenistan
111,Mauritius
112,Kenya
113,Cuba
114,Gabon
115,Bahamas
116,South Korea
117,Iceland
118,Honduras
119,Hong Kong (S.A.R.)
120,Lao People's Democratic Republic
121,Mongolia
122,Cambodia
123,Madagascar
124,Angola
125,Democratic Republic of the Congo
126,Syrian Arab Republic
127,Iraq
128,Namibia
129,Senegal
130,Kyrgyzstan
131,Zambia
132,Swaziland
133,Côte d'Ivoire
134,Kuwait
135,Tajikistan
136,Burundi
137,Trinidad and Tobago
138,Mauritania
139,Sierra Leone
140,Panama
141,Somalia
142,North Korea
143,Dominica
144,Guyana
145,Togo
146,Oman
147,Barbados
148,Andorra
149,Democratic People's Republic of Korea
150,Qatar
151,Sudan
152,Cameroon
153,Papua New Guinea
154,Bahrain
155,Yemen
156,Malawi
157,Burkina Faso
158,"Congo, Republic of the..."
159,Botswana
160,Guinea-Bissau
161,Mozambique
162,Central African Republic
163,Equatorial Guinea
164,Suriname
165,Belize
166,Libyan Arab Jamahiriya
167,Cape Verde
168,Brunei Darussalam
169,Bhutan
170,Guinea
171,Niger
172,Antigua and Barbuda
173,Mali
174,Samoa
175,Lesotho
176,Saint Kitts and Nevis
177,Monaco
178,"Micronesia, Federated States of..."
179,Haiti
180,
181,Nauru
182,Liberia
183,Chad
184,Djibouti
185,Solomon Islands
